fare_id,origin_id,destination_id
F_1,S_1,S_2
F_2,S_1,S_3
F_3,S_1,S_4
F_4,S_1,S_5
F_5,S_1,S_6
F_6,S_1,S_7
F_7,S_1,S_8
F_8,S_1,S_9
F_9,S_1,S_10
F_10,S_1,S_11
F_11,S_1,S_12
F_12,S_1,S_13
F_13,S_1,S_14
F_14,S_1,S_15
F_15,S_1,M_1
F_16,S_1,M_2
F_17,S_1,M_3
F_18,S_1,M_4
F_19,S_1,M_5
F_20,S_1,M_6
F_21,S_1,M_7
F_22,S_1,M_8
F_23,S_1,M_9
F_24,S_1,M_10
F_25,S_1,M_11
F_26,S_1,M_12
F_27,S_1,M_13
F_28,S_1,M_14
F_29,S_1,P_1
F_30,S_1,P_2
F_31,S_1,P_3
F_32,S_1,P_4
F_33,S_1,P_5
F_34,S_1,P_6
F_35,S_1,P_7
F_36,S_1,P_8
F_37,S_1,P_9
F_38,S_1,P_10
F_39,S_1,P_11
F_40,S_1,P_12
F_41,S_1,P_13
F_42,S_1,P_14
F_43,S_1,K_1
F_44,S_1,K_2
F_45,S_1,K_3
F_46,S_1,K_4
F_47,S_1,K_5
F_48,S_1,K_6
F_49,S_1,K_7
F_50,S_1,K_8
F_51,S_1,K_9
F_52,S_1,K_10
F_53,S_1,K_11
F_54,S_1,K_12
F_55,S_1,K_13
F_56,S_1,K_14
F_57,S_1,K_15
F_58,S_1,K_16
F_59,S_1,K_17
F_60,S_1,K_18
F_61,S_1,K_19
F_62,S_2,S_1
F_63,S_2,S_3
F_64,S_2,S_4
F_65,S_2,S_5
F_66,S_2,S_6
F_67,S_2,S_7
F_68,S_2,S_8
F_69,S_2,S_9
F_70,S_2,S_10
F_71,S_2,S_11
F_72,S_2,S_12
F_73,S_2,S_13
F_74,S_2,S_14
F_75,S_2,S_15
F_76,S_2,M_1
F_77,S_2,M_2
F_78,S_2,M_3
F_79,S_2,M_4
F_80,S_2,M_5
F_81,S_2,M_6
F_82,S_2,M_7
F_83,S_2,M_8
F_84,S_2,M_9
F_85,S_2,M_10
F_86,S_2,M_11
F_87,S_2,M_12
F_88,S_2,M_13
F_89,S_2,M_14
F_90,S_2,P_1
F_91,S_2,P_2
F_92,S_2,P_3
F_93,S_2,P_4
F_94,S_2,P_5
F_95,S_2,P_6
F_96,S_2,P_7
F_97,S_2,P_8
F_98,S_2,P_9
F_99,S_2,P_10
F_100,S_2,P_11
F_101,S_2,P_12
F_102,S_2,P_13
F_103,S_2,P_14
F_104,S_2,K_1
F_105,S_2,K_2
F_106,S_2,K_3
F_107,S_2,K_4
F_108,S_2,K_5
F_109,S_2,K_6
F_110,S_2,K_7
F_111,S_2,K_8
F_112,S_2,K_9
F_113,S_2,K_10
F_114,S_2,K_11
F_115,S_2,K_12
F_116,S_2,K_13
F_117,S_2,K_14
F_118,S_2,K_15
F_119,S_2,K_16
F_120,S_2,K_17
F_121,S_2,K_18
F_122,S_2,K_19
F_123,S_3,S_1
F_124,S_3,S_2
F_125,S_3,S_4
F_126,S_3,S_5
F_127,S_3,S_6
F_128,S_3,S_7
F_129,S_3,S_8
F_130,S_3,S_9
F_131,S_3,S_10
F_132,S_3,S_11
F_133,S_3,S_12
F_134,S_3,S_13
F_135,S_3,S_14
F_136,S_3,S_15
F_137,S_3,M_1
F_138,S_3,M_2
F_139,S_3,M_3
F_140,S_3,M_4
F_141,S_3,M_5
F_142,S_3,M_6
F_143,S_3,M_7
F_144,S_3,M_8
F_145,S_3,M_9
F_146,S_3,M_10
F_147,S_3,M_11
F_148,S_3,M_12
F_149,S_3,M_13
F_150,S_3,M_14
F_151,S_3,P_1
F_152,S_3,P_2
F_153,S_3,P_3
F_154,S_3,P_4
F_155,S_3,P_5
F_156,S_3,P_6
F_157,S_3,P_7
F_158,S_3,P_8
F_159,S_3,P_9
F_160,S_3,P_10
F_161,S_3,P_11
F_162,S_3,P_12
F_163,S_3,P_13
F_164,S_3,P_14
F_165,S_3,K_1
F_166,S_3,K_2
F_167,S_3,K_3
F_168,S_3,K_4
F_169,S_3,K_5
F_170,S_3,K_6
F_171,S_3,K_7
F_172,S_3,K_8
F_173,S_3,K_9
F_174,S_3,K_10
F_175,S_3,K_11
F_176,S_3,K_12
F_177,S_3,K_13
F_178,S_3,K_14
F_179,S_3,K_15
F_180,S_3,K_16
F_181,S_3,K_17
F_182,S_3,K_18
F_183,S_3,K_19
F_184,S_4,S_1
F_185,S_4,S_2
F_186,S_4,S_3
F_187,S_4,S_5
F_188,S_4,S_6
F_189,S_4,S_7
F_190,S_4,S_8
F_191,S_4,S_9
F_192,S_4,S_10
F_193,S_4,S_11
F_194,S_4,S_12
F_195,S_4,S_13
F_196,S_4,S_14
F_197,S_4,S_15
F_198,S_4,M_1
F_199,S_4,M_2
F_200,S_4,M_3
F_201,S_4,M_4
F_202,S_4,M_5
F_203,S_4,M_6
F_204,S_4,M_7
F_205,S_4,M_8
F_206,S_4,M_9
F_207,S_4,M_10
F_208,S_4,M_11
F_209,S_4,M_12
F_210,S_4,M_13
F_211,S_4,M_14
F_212,S_4,P_1
F_213,S_4,P_2
F_214,S_4,P_3
F_215,S_4,P_4
F_216,S_4,P_5
F_217,S_4,P_6
F_218,S_4,P_7
F_219,S_4,P_8
F_220,S_4,P_9
F_221,S_4,P_10
F_222,S_4,P_11
F_223,S_4,P_12
F_224,S_4,P_13
F_225,S_4,P_14
F_226,S_4,K_1
F_227,S_4,K_2
F_228,S_4,K_3
F_229,S_4,K_4
F_230,S_4,K_5
F_231,S_4,K_6
F_232,S_4,K_7
F_233,S_4,K_8
F_234,S_4,K_9
F_235,S_4,K_10
F_236,S_4,K_11
F_237,S_4,K_12
F_238,S_4,K_13
F_239,S_4,K_14
F_240,S_4,K_15
F_241,S_4,K_16
F_242,S_4,K_17
F_243,S_4,K_18
F_244,S_4,K_19
F_245,S_5,S_1
F_246,S_5,S_2
F_247,S_5,S_3
F_248,S_5,S_4
F_249,S_5,S_6
F_250,S_5,S_7
F_251,S_5,S_8
F_252,S_5,S_9
F_253,S_5,S_10
F_254,S_5,S_11
F_255,S_5,S_12
F_256,S_5,S_13
F_257,S_5,S_14
F_258,S_5,S_15
F_259,S_5,M_1
F_260,S_5,M_2
F_261,S_5,M_3
F_262,S_5,M_4
F_263,S_5,M_5
F_264,S_5,M_6
F_265,S_5,M_7
F_266,S_5,M_8
F_267,S_5,M_9
F_268,S_5,M_10
F_269,S_5,M_11
F_270,S_5,M_12
F_271,S_5,M_13
F_272,S_5,M_14
F_273,S_5,P_1
F_274,S_5,P_2
F_275,S_5,P_3
F_276,S_5,P_4
F_277,S_5,P_5
F_278,S_5,P_6
F_279,S_5,P_7
F_280,S_5,P_8
F_281,S_5,P_9
F_282,S_5,P_10
F_283,S_5,P_11
F_284,S_5,P_12
F_285,S_5,P_13
F_286,S_5,P_14
F_287,S_5,K_1
F_288,S_5,K_2
F_289,S_5,K_3
F_290,S_5,K_4
F_291,S_5,K_5
F_292,S_5,K_6
F_293,S_5,K_7
F_294,S_5,K_8
F_295,S_5,K_9
F_296,S_5,K_10
F_297,S_5,K_11
F_298,S_5,K_12
F_299,S_5,K_13
F_300,S_5,K_14
F_301,S_5,K_15
F_302,S_5,K_16
F_303,S_5,K_17
F_304,S_5,K_18
F_305,S_5,K_19
F_306,S_6,S_1
F_307,S_6,S_2
F_308,S_6,S_3
F_309,S_6,S_4
F_310,S_6,S_5
F_311,S_6,S_7
F_312,S_6,S_8
F_313,S_6,S_9
F_314,S_6,S_10
F_315,S_6,S_11
F_316,S_6,S_12
F_317,S_6,S_13
F_318,S_6,S_14
F_319,S_6,S_15
F_320,S_6,M_1
F_321,S_6,M_2
F_322,S_6,M_3
F_323,S_6,M_4
F_324,S_6,M_5
F_325,S_6,M_6
F_326,S_6,M_7
F_327,S_6,M_8
F_328,S_6,M_9
F_329,S_6,M_10
F_330,S_6,M_11
F_331,S_6,M_12
F_332,S_6,M_13
F_333,S_6,M_14
F_334,S_6,P_1
F_335,S_6,P_2
F_336,S_6,P_3
F_337,S_6,P_4
F_338,S_6,P_5
F_339,S_6,P_6
F_340,S_6,P_7
F_341,S_6,P_8
F_342,S_6,P_9
F_343,S_6,P_10
F_344,S_6,P_11
F_345,S_6,P_12
F_346,S_6,P_13
F_347,S_6,P_14
F_348,S_6,K_1
F_349,S_6,K_2
F_350,S_6,K_3
F_351,S_6,K_4
F_352,S_6,K_5
F_353,S_6,K_6
F_354,S_6,K_7
F_355,S_6,K_8
F_356,S_6,K_9
F_357,S_6,K_10
F_358,S_6,K_11
F_359,S_6,K_12
F_360,S_6,K_13
F_361,S_6,K_14
F_362,S_6,K_15
F_363,S_6,K_16
F_364,S_6,K_17
F_365,S_6,K_18
F_366,S_6,K_19
F_367,S_7,S_1
F_368,S_7,S_2
F_369,S_7,S_3
F_370,S_7,S_4
F_371,S_7,S_5
F_372,S_7,S_6
F_373,S_7,S_8
F_374,S_7,S_9
F_375,S_7,S_10
F_376,S_7,S_11
F_377,S_7,S_12
F_378,S_7,S_13
F_379,S_7,S_14
F_380,S_7,S_15
F_381,S_7,M_1
F_382,S_7,M_2
F_383,S_7,M_3
F_384,S_7,M_4
F_385,S_7,M_5
F_386,S_7,M_6
F_387,S_7,M_7
F_388,S_7,M_8
F_389,S_7,M_9
F_390,S_7,M_10
F_391,S_7,M_11
F_392,S_7,M_12
F_393,S_7,M_13
F_394,S_7,M_14
F_395,S_7,P_1
F_396,S_7,P_2
F_397,S_7,P_3
F_398,S_7,P_4
F_399,S_7,P_5
F_400,S_7,P_6
F_401,S_7,P_7
F_402,S_7,P_8
F_403,S_7,P_9
F_404,S_7,P_10
F_405,S_7,P_11
F_406,S_7,P_12
F_407,S_7,P_13
F_408,S_7,P_14
F_409,S_7,K_1
F_410,S_7,K_2
F_411,S_7,K_3
F_412,S_7,K_4
F_413,S_7,K_5
F_414,S_7,K_6
F_415,S_7,K_7
F_416,S_7,K_8
F_417,S_7,K_9
F_418,S_7,K_10
F_419,S_7,K_11
F_420,S_7,K_12
F_421,S_7,K_13
F_422,S_7,K_14
F_423,S_7,K_15
F_424,S_7,K_16
F_425,S_7,K_17
F_426,S_7,K_18
F_427,S_7,K_19
F_428,S_8,S_1
F_429,S_8,S_2
F_430,S_8,S_3
F_431,S_8,S_4
F_432,S_8,S_5
F_433,S_8,S_6
F_434,S_8,S_7
F_435,S_8,S_9
F_436,S_8,S_10
F_437,S_8,S_11
F_438,S_8,S_12
F_439,S_8,S_13
F_440,S_8,S_14
F_441,S_8,S_15
F_442,S_8,M_1
F_443,S_8,M_2
F_444,S_8,M_3
F_445,S_8,M_4
F_446,S_8,M_5
F_447,S_8,M_6
F_448,S_8,M_7
F_449,S_8,M_8
F_450,S_8,M_9
F_451,S_8,M_10
F_452,S_8,M_11
F_453,S_8,M_12
F_454,S_8,M_13
F_455,S_8,M_14
F_456,S_8,P_1
F_457,S_8,P_2
F_458,S_8,P_3
F_459,S_8,P_4
F_460,S_8,P_5
F_461,S_8,P_6
F_462,S_8,P_7
F_463,S_8,P_8
F_464,S_8,P_9
F_465,S_8,P_10
F_466,S_8,P_11
F_467,S_8,P_12
F_468,S_8,P_13
F_469,S_8,P_14
F_470,S_8,K_1
F_471,S_8,K_2
F_472,S_8,K_3
F_473,S_8,K_4
F_474,S_8,K_5
F_475,S_8,K_6
F_476,S_8,K_7
F_477,S_8,K_8
F_478,S_8,K_9
F_479,S_8,K_10
F_480,S_8,K_11
F_481,S_8,K_12
F_482,S_8,K_13
F_483,S_8,K_14
F_484,S_8,K_15
F_485,S_8,K_16
F_486,S_8,K_17
F_487,S_8,K_18
F_488,S_8,K_19
F_489,S_9,S_1
F_490,S_9,S_2
F_491,S_9,S_3
F_492,S_9,S_4
F_493,S_9,S_5
F_494,S_9,S_6
F_495,S_9,S_7
F_496,S_9,S_8
F_497,S_9,S_10
F_498,S_9,S_11
F_499,S_9,S_12
F_500,S_9,S_13
F_501,S_9,S_14
F_502,S_9,S_15
F_503,S_9,M_1
F_504,S_9,M_2
F_505,S_9,M_3
F_506,S_9,M_4
F_507,S_9,M_5
F_508,S_9,M_6
F_509,S_9,M_7
F_510,S_9,M_8
F_511,S_9,M_9
F_512,S_9,M_10
F_513,S_9,M_11
F_514,S_9,M_12
F_515,S_9,M_13
F_516,S_9,M_14
F_517,S_9,P_1
F_518,S_9,P_2
F_519,S_9,P_3
F_520,S_9,P_4
F_521,S_9,P_5
F_522,S_9,P_6
F_523,S_9,P_7
F_524,S_9,P_8
F_525,S_9,P_9
F_526,S_9,P_10
F_527,S_9,P_11
F_528,S_9,P_12
F_529,S_9,P_13
F_530,S_9,P_14
F_531,S_9,K_1
F_532,S_9,K_2
F_533,S_9,K_3
F_534,S_9,K_4
F_535,S_9,K_5
F_536,S_9,K_6
F_537,S_9,K_7
F_538,S_9,K_8
F_539,S_9,K_9
F_540,S_9,K_10
F_541,S_9,K_11
F_542,S_9,K_12
F_543,S_9,K_13
F_544,S_9,K_14
F_545,S_9,K_15
F_546,S_9,K_16
F_547,S_9,K_17
F_548,S_9,K_18
F_549,S_9,K_19
F_550,S_10,S_1
F_551,S_10,S_2
F_552,S_10,S_3
F_553,S_10,S_4
F_554,S_10,S_5
F_555,S_10,S_6
F_556,S_10,S_7
F_557,S_10,S_8
F_558,S_10,S_9
F_559,S_10,S_11
F_560,S_10,S_12
F_561,S_10,S_13
F_562,S_10,S_14
F_563,S_10,S_15
F_564,S_10,M_1
F_565,S_10,M_2
F_566,S_10,M_3
F_567,S_10,M_4
F_568,S_10,M_5
F_569,S_10,M_6
F_570,S_10,M_7
F_571,S_10,M_8
F_572,S_10,M_9
F_573,S_10,M_10
F_574,S_10,M_11
F_575,S_10,M_12
F_576,S_10,M_13
F_577,S_10,M_14
F_578,S_10,P_1
F_579,S_10,P_2
F_580,S_10,P_3
F_581,S_10,P_4
F_582,S_10,P_5
F_583,S_10,P_6
F_584,S_10,P_7
F_585,S_10,P_8
F_586,S_10,P_9
F_587,S_10,P_10
F_588,S_10,P_11
F_589,S_10,P_12
F_590,S_10,P_13
F_591,S_10,P_14
F_592,S_10,K_1
F_593,S_10,K_2
F_594,S_10,K_3
F_595,S_10,K_4
F_596,S_10,K_5
F_597,S_10,K_6
F_598,S_10,K_7
F_599,S_10,K_8
F_600,S_10,K_9
F_601,S_10,K_10
F_602,S_10,K_11
F_603,S_10,K_12
F_604,S_10,K_13
F_605,S_10,K_14
F_606,S_10,K_15
F_607,S_10,K_16
F_608,S_10,K_17
F_609,S_10,K_18
F_610,S_10,K_19
F_611,S_11,S_1
F_612,S_11,S_2
F_613,S_11,S_3
F_614,S_11,S_4
F_615,S_11,S_5
F_616,S_11,S_6
F_617,S_11,S_7
F_618,S_11,S_8
F_619,S_11,S_9
F_620,S_11,S_10
F_621,S_11,S_12
F_622,S_11,S_13
F_623,S_11,S_14
F_624,S_11,S_15
F_625,S_11,M_1
F_626,S_11,M_2
F_627,S_11,M_3
F_628,S_11,M_4
F_629,S_11,M_5
F_630,S_11,M_6
F_631,S_11,M_7
F_632,S_11,M_8
F_633,S_11,M_9
F_634,S_11,M_10
F_635,S_11,M_11
F_636,S_11,M_12
F_637,S_11,M_13
F_638,S_11,M_14
F_639,S_11,P_1
F_640,S_11,P_2
F_641,S_11,P_3
F_642,S_11,P_4
F_643,S_11,P_5
F_644,S_11,P_6
F_645,S_11,P_7
F_646,S_11,P_8
F_647,S_11,P_9
F_648,S_11,P_10
F_649,S_11,P_11
F_650,S_11,P_12
F_651,S_11,P_13
F_652,S_11,P_14
F_653,S_11,K_1
F_654,S_11,K_2
F_655,S_11,K_3
F_656,S_11,K_4
F_657,S_11,K_5
F_658,S_11,K_6
F_659,S_11,K_7
F_660,S_11,K_8
F_661,S_11,K_9
F_662,S_11,K_10
F_663,S_11,K_11
F_664,S_11,K_12
F_665,S_11,K_13
F_666,S_11,K_14
F_667,S_11,K_15
F_668,S_11,K_16
F_669,S_11,K_17
F_670,S_11,K_18
F_671,S_11,K_19
F_672,S_12,S_1
F_673,S_12,S_2
F_674,S_12,S_3
F_675,S_12,S_4
F_676,S_12,S_5
F_677,S_12,S_6
F_678,S_12,S_7
F_679,S_12,S_8
F_680,S_12,S_9
F_681,S_12,S_10
F_682,S_12,S_11
F_683,S_12,S_13
F_684,S_12,S_14
F_685,S_12,S_15
F_686,S_12,M_1
F_687,S_12,M_2
F_688,S_12,M_3
F_689,S_12,M_4
F_690,S_12,M_5
F_691,S_12,M_6
F_692,S_12,M_7
F_693,S_12,M_8
F_694,S_12,M_9
F_695,S_12,M_10
F_696,S_12,M_11
F_697,S_12,M_12
F_698,S_12,M_13
F_699,S_12,M_14
F_700,S_12,P_1
F_701,S_12,P_2
F_702,S_12,P_3
F_703,S_12,P_4
F_704,S_12,P_5
F_705,S_12,P_6
F_706,S_12,P_7
F_707,S_12,P_8
F_708,S_12,P_9
F_709,S_12,P_10
F_710,S_12,P_11
F_711,S_12,P_12
F_712,S_12,P_13
F_713,S_12,P_14
F_714,S_12,K_1
F_715,S_12,K_2
F_716,S_12,K_3
F_717,S_12,K_4
F_718,S_12,K_5
F_719,S_12,K_6
F_720,S_12,K_7
F_721,S_12,K_8
F_722,S_12,K_9
F_723,S_12,K_10
F_724,S_12,K_11
F_725,S_12,K_12
F_726,S_12,K_13
F_727,S_12,K_14
F_728,S_12,K_15
F_729,S_12,K_16
F_730,S_12,K_17
F_731,S_12,K_18
F_732,S_12,K_19
F_733,S_13,S_1
F_734,S_13,S_2
F_735,S_13,S_3
F_736,S_13,S_4
F_737,S_13,S_5
F_738,S_13,S_6
F_739,S_13,S_7
F_740,S_13,S_8
F_741,S_13,S_9
F_742,S_13,S_10
F_743,S_13,S_11
F_744,S_13,S_12
F_745,S_13,S_14
F_746,S_13,S_15
F_747,S_13,M_1
F_748,S_13,M_2
F_749,S_13,M_3
F_750,S_13,M_4
F_751,S_13,M_5
F_752,S_13,M_6
F_753,S_13,M_7
F_754,S_13,M_8
F_755,S_13,M_9
F_756,S_13,M_10
F_757,S_13,M_11
F_758,S_13,M_12
F_759,S_13,M_13
F_760,S_13,M_14
F_761,S_13,P_1
F_762,S_13,P_2
F_763,S_13,P_3
F_764,S_13,P_4
F_765,S_13,P_5
F_766,S_13,P_6
F_767,S_13,P_7
F_768,S_13,P_8
F_769,S_13,P_9
F_770,S_13,P_10
F_771,S_13,P_11
F_772,S_13,P_12
F_773,S_13,P_13
F_774,S_13,P_14
F_775,S_13,K_1
F_776,S_13,K_2
F_777,S_13,K_3
F_778,S_13,K_4
F_779,S_13,K_5
F_780,S_13,K_6
F_781,S_13,K_7
F_782,S_13,K_8
F_783,S_13,K_9
F_784,S_13,K_10
F_785,S_13,K_11
F_786,S_13,K_12
F_787,S_13,K_13
F_788,S_13,K_14
F_789,S_13,K_15
F_790,S_13,K_16
F_791,S_13,K_17
F_792,S_13,K_18
F_793,S_13,K_19
F_794,S_14,S_1
F_795,S_14,S_2
F_796,S_14,S_3
F_797,S_14,S_4
F_798,S_14,S_5
F_799,S_14,S_6
F_800,S_14,S_7
F_801,S_14,S_8
F_802,S_14,S_9
F_803,S_14,S_10
F_804,S_14,S_11
F_805,S_14,S_12
F_806,S_14,S_13
F_807,S_14,S_15
F_808,S_14,M_1
F_809,S_14,M_2
F_810,S_14,M_3
F_811,S_14,M_4
F_812,S_14,M_5
F_813,S_14,M_6
F_814,S_14,M_7
F_815,S_14,M_8
F_816,S_14,M_9
F_817,S_14,M_10
F_818,S_14,M_11
F_819,S_14,M_12
F_820,S_14,M_13
F_821,S_14,M_14
F_822,S_14,P_1
F_823,S_14,P_2
F_824,S_14,P_3
F_825,S_14,P_4
F_826,S_14,P_5
F_827,S_14,P_6
F_828,S_14,P_7
F_829,S_14,P_8
F_830,S_14,P_9
F_831,S_14,P_10
F_832,S_14,P_11
F_833,S_14,P_12
F_834,S_14,P_13
F_835,S_14,P_14
F_836,S_14,K_1
F_837,S_14,K_2
F_838,S_14,K_3
F_839,S_14,K_4
F_840,S_14,K_5
F_841,S_14,K_6
F_842,S_14,K_7
F_843,S_14,K_8
F_844,S_14,K_9
F_845,S_14,K_10
F_846,S_14,K_11
F_847,S_14,K_12
F_848,S_14,K_13
F_849,S_14,K_14
F_850,S_14,K_15
F_851,S_14,K_16
F_852,S_14,K_17
F_853,S_14,K_18
F_854,S_14,K_19
F_855,S_15,S_1
F_856,S_15,S_2
F_857,S_15,S_3
F_858,S_15,S_4
F_859,S_15,S_5
F_860,S_15,S_6
F_861,S_15,S_7
F_862,S_15,S_8
F_863,S_15,S_9
F_864,S_15,S_10
F_865,S_15,S_11
F_866,S_15,S_12
F_867,S_15,S_13
F_868,S_15,S_14
F_869,S_15,M_1
F_870,S_15,M_2
F_871,S_15,M_3
F_872,S_15,M_4
F_873,S_15,M_5
F_874,S_15,M_6
F_875,S_15,M_7
F_876,S_15,M_8
F_877,S_15,M_9
F_878,S_15,M_10
F_879,S_15,M_11
F_880,S_15,M_12
F_881,S_15,M_13
F_882,S_15,M_14
F_883,S_15,P_1
F_884,S_15,P_2
F_885,S_15,P_3
F_886,S_15,P_4
F_887,S_15,P_5
F_888,S_15,P_6
F_889,S_15,P_7
F_890,S_15,P_8
F_891,S_15,P_9
F_892,S_15,P_10
F_893,S_15,P_11
F_894,S_15,P_12
F_895,S_15,P_13
F_896,S_15,P_14
F_897,S_15,K_1
F_898,S_15,K_2
F_899,S_15,K_3
F_900,S_15,K_4
F_901,S_15,K_5
F_902,S_15,K_6
F_903,S_15,K_7
F_904,S_15,K_8
F_905,S_15,K_9
F_906,S_15,K_10
F_907,S_15,K_11
F_908,S_15,K_12
F_909,S_15,K_13
F_910,S_15,K_14
F_911,S_15,K_15
F_912,S_15,K_16
F_913,S_15,K_17
F_914,S_15,K_18
F_915,S_15,K_19
F_916,M_1,S_1
F_917,M_1,S_2
F_918,M_1,S_3
F_919,M_1,S_4
F_920,M_1,S_5
F_921,M_1,S_6
F_922,M_1,S_7
F_923,M_1,S_8
F_924,M_1,S_9
F_925,M_1,S_10
F_926,M_1,S_11
F_927,M_1,S_12
F_928,M_1,S_13
F_929,M_1,S_14
F_930,M_1,S_15
F_931,M_1,M_2
F_932,M_1,M_3
F_933,M_1,M_4
F_934,M_1,M_5
F_935,M_1,M_6
F_936,M_1,M_7
F_937,M_1,M_8
F_938,M_1,M_9
F_939,M_1,M_10
F_940,M_1,M_11
F_941,M_1,M_12
F_942,M_1,M_13
F_943,M_1,M_14
F_944,M_1,P_1
F_945,M_1,P_2
F_946,M_1,P_3
F_947,M_1,P_4
F_948,M_1,P_5
F_949,M_1,P_6
F_950,M_1,P_7
F_951,M_1,P_8
F_952,M_1,P_9
F_953,M_1,P_10
F_954,M_1,P_11
F_955,M_1,P_12
F_956,M_1,P_13
F_957,M_1,P_14
F_958,M_1,K_1
F_959,M_1,K_2
F_960,M_1,K_3
F_961,M_1,K_4
F_962,M_1,K_5
F_963,M_1,K_6
F_964,M_1,K_7
F_965,M_1,K_8
F_966,M_1,K_9
F_967,M_1,K_10
F_968,M_1,K_11
F_969,M_1,K_12
F_970,M_1,K_13
F_971,M_1,K_14
F_972,M_1,K_15
F_973,M_1,K_16
F_974,M_1,K_17
F_975,M_1,K_18
F_976,M_1,K_19
F_977,M_2,S_1
F_978,M_2,S_2
F_979,M_2,S_3
F_980,M_2,S_4
F_981,M_2,S_5
F_982,M_2,S_6
F_983,M_2,S_7
F_984,M_2,S_8
F_985,M_2,S_9
F_986,M_2,S_10
F_987,M_2,S_11
F_988,M_2,S_12
F_989,M_2,S_13
F_990,M_2,S_14
F_991,M_2,S_15
F_992,M_2,M_1
F_993,M_2,M_3
F_994,M_2,M_4
F_995,M_2,M_5
F_996,M_2,M_6
F_997,M_2,M_7
F_998,M_2,M_8
F_999,M_2,M_9
